qc_id,icon_url
"0",./0.png
"1",./0.png
"2",./0.png
"3",./0.png
"4",./0.png
"5",./0.png
"6",./0.png
"7",./0.png
"8",./0.png
"9",./0.png
"10",./0.png
"11",./0.png
"12",./0.png
"13",./0.png
"14",./0.png
"15",./0.png
"16",./0.png
"17",./0.png
"18",./0.png
"19",./0.png
"20",./0.png
"21",./0.png
"22",./0.png
"23",./0.png
"24",./0.png
"25",./0.png
"26",./0.png
"27",./0.png
"28",./0.png
"29",./0.png
"30",./0.png
"31",./0.png
"32",./0.png
"33",./0.png
"34",./0.png
"35",./0.png
"36",./0.png
"37",./0.png
"38",./0.png
"39",./0.png
"40",./0.png
"41",./0.png
"42",./0.png
"43",./0.png
"44",./0.png
"45",./0.png
"46",./0.png
"47",./0.png
"48",./0.png
"49",./0.png
"50",./0.png
"51",./0.png
"52",./0.png
"53",./0.png
"54",./0.png
"55",./0.png
"56",./0.png
"57",./0.png
"58",./0.png
"59",./0.png
"60",./0.png
"61",./0.png
"62",./0.png
"63",./0.png
"64",./0.png
"65",./0.png
"66",./0.png
"67",./0.png
"68",./0.png
"69",./0.png
"70",./0.png
"71",./0.png
"72",./0.png
"73",./0.png
"74",./0.png
"75",./0.png
"76",./0.png
"77",./0.png
"78",./0.png
"79",./0.png
"80",./0.png
"81",./0.png
"82",./0.png
"83",./0.png
"84",./0.png
"85",./0.png
"86",./0.png
"87",./0.png
"88",./0.png
"89",./0.png
"90",./0.png
"91",./0.png
"92",./0.png
"93",./0.png
"94",./0.png
"95",./0.png
"96",./0.png
"97",./0.png
"98",./0.png
"99",./0.png
"100",./0.png
"101",./0.png
"102",./0.png
"103",./0.png
"104",./0.png
"105",./0.png
"106",./0.png
"107",./0.png
"108",./0.png
"109",./0.png
"110",./0.png
"111",./0.png
